routepin.schema	ff_formal_routepin/2
routepin.final.anchor_o_OBUF.fixed	1
routepin.final.q.route	{}
routepin.final.q.pips	
routepin.final.q.driver	q_OBUF_inst/O
routepin.final.q.sinks	
routepin.final.q.status	INTRASITE
routepin.final.q.fixed	0
routepin.final.q_OBUF.route	 { CLBLL_L_D CLBLL_LOGIC_OUTS11 NE6BEG3 NE6BEG3 NE6BEG3 NE6BEG3 NE6BEG3 NE6BEG3 NE6BEG3 NN6BEG3 NN6BEG3 NN6BEG3 NN6BEG3 NN6BEG3 NN6BEG3 NN6BEG3 NL1BEG2 EL1BEG1 IMUX34 IOI_OLOGIC1_D1 RIOI_OLOGIC1_OQ RIOI_O1 }  
routepin.final.q_OBUF.pips	CLBLL_R_X19Y20/CLBLL_R.CLBLL_L_D->CLBLL_LOGIC_OUTS11 INT_L_X30Y48/INT_L.NW6END3->>NN6BEG3 INT_L_X30Y54/INT_L.NN6END3->>NN6BEG3 INT_L_X30Y60/INT_L.NN6END3->>NN6BEG3 INT_L_X30Y66/INT_L.NN6END3->>NN6BEG3 INT_L_X30Y72/INT_L.NN6END3->>NN6BEG3 INT_L_X30Y78/INT_L.NN6END3->>NN6BEG3 INT_L_X30Y84/INT_L.NN6END3->>NN6BEG3 INT_L_X30Y90/INT_L.NN6END3->>NL1BEG2 INT_L_X30Y91/INT_L.NL1END2->>EL1BEG1 INT_R_X19Y20/INT_R.LOGIC_OUTS11->>NE6BEG3 INT_R_X21Y24/INT_R.NE6END3->>NE6BEG3 INT_R_X23Y28/INT_R.NE6END3->>NE6BEG3 INT_R_X25Y32/INT_R.NE6END3->>NE6BEG3 INT_R_X27Y36/INT_R.NE6END3->>NE6BEG3 INT_R_X29Y40/INT_R.NE6END3->>NE6BEG3 INT_R_X31Y44/INT_R.NE6END3->>NE6BEG3 INT_R_X31Y91/INT_R.EL1END1->>IMUX34 RIOI3_X31Y91/RIOI3.IOI_IMUX34_0->IOI_OLOGIC1_D1 RIOI3_X31Y91/RIOI3.IOI_OLOGIC1_D1->>RIOI_OLOGIC1_OQ RIOI3_X31Y91/RIOI3.RIOI_OLOGIC1_OQ->>RIOI_O1
routepin.final.q_OBUF.driver	q_reduce2/O
routepin.final.q_OBUF.sinks	q_OBUF_inst/I
routepin.final.q_OBUF.status	ROUTED
routepin.final.q_OBUF.fixed	1
routepin.final.qr1.route	 { CLBLL_L_C  { CLBLL_LOGIC_OUTS10 IMUX37 CLBLL_L_D4 }  CLBLL_L_CMUX CLBLL_LOGIC_OUTS18  { IMUX41 CLBLL_L_D1 }  NL1BEG_N3  { FAN_ALT1 FAN_BOUNCE1 IMUX42 CLBLL_L_D6 }  IMUX46 CLBLL_L_D5 }  
routepin.final.qr1.pips	CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX37->CLBLL_L_D4 CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX41->CLBLL_L_D1 CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX42->CLBLL_L_D6 CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX46->CLBLL_L_D5 CLBLL_R_X19Y20/CLBLL_R.CLBLL_L_C->>CLBLL_L_CMUX CLBLL_R_X19Y20/CLBLL_R.CLBLL_L_C->CLBLL_LOGIC_OUTS10 CLBLL_R_X19Y20/CLBLL_R.CLBLL_L_CMUX->CLBLL_LOGIC_OUTS18 INT_R_X19Y20/INT_R.FAN_ALT1->>FAN_BOUNCE1 INT_R_X19Y20/INT_R.FAN_BOUNCE1->>IMUX42 INT_R_X19Y20/INT_R.LOGIC_OUTS10->>IMUX37 INT_R_X19Y20/INT_R.LOGIC_OUTS18->>IMUX41 INT_R_X19Y20/INT_R.LOGIC_OUTS18->>NL1BEG_N3 INT_R_X19Y20/INT_R.NL1BEG_N3->>FAN_ALT1 INT_R_X19Y20/INT_R.NL1BEG_N3->>IMUX46
routepin.final.qr1.driver	q_reduce1/O
routepin.final.qr1.sinks	q_reduce2/I0 q_reduce2/I3 q_reduce2/I4 q_reduce2/I5
routepin.final.qr1.status	ROUTED
routepin.final.qr1.fixed	1
routepin.final.w1.route	 { CLBLL_L_A CLBLL_LOGIC_OUTS8  { BYP_ALT1 BYP_BOUNCE1  { IMUX13 CLBLL_L_B6 }  GFAN0  { IMUX16 CLBLL_L_B3 }  IMUX26 CLBLL_L_B4 }  IMUX25 CLBLL_L_B5 }  
routepin.final.w1.pips	CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX13->CLBLL_L_B6 CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX16->CLBLL_L_B3 CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX25->CLBLL_L_B5 CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX26->CLBLL_L_B4 CLBLL_R_X19Y20/CLBLL_R.CLBLL_L_A->CLBLL_LOGIC_OUTS8 INT_R_X19Y20/INT_R.BYP_ALT1->>BYP_BOUNCE1 INT_R_X19Y20/INT_R.BYP_BOUNCE1->>GFAN0 INT_R_X19Y20/INT_R.BYP_BOUNCE1->>IMUX13 INT_R_X19Y20/INT_R.GFAN0->>IMUX16 INT_R_X19Y20/INT_R.GFAN0->>IMUX26 INT_R_X19Y20/INT_R.LOGIC_OUTS8->>BYP_ALT1 INT_R_X19Y20/INT_R.LOGIC_OUTS8->>IMUX25
routepin.final.w1.driver	anchor_lut1/O
routepin.final.w1.sinks	anchor_lut2/I2 anchor_lut2/I3 anchor_lut2/I4 anchor_lut2/I5
routepin.final.w1.status	ROUTED
routepin.final.w1.fixed	1
routepin.final.w2.route	 { CLBLL_L_B CLBLL_LOGIC_OUTS9  { WR1BEG2 WL1BEG0 BYP_ALT0 BYP0 CLBLM_L_AX }  FAN_ALT2 FAN_BOUNCE2 BYP_ALT0 BYP0 CLBLL_L_AX }  
routepin.final.w2.pips	CLBLL_R_X19Y20/CLBLL_R.CLBLL_BYP0->CLBLL_L_AX CLBLL_R_X19Y20/CLBLL_R.CLBLL_L_B->CLBLL_LOGIC_OUTS9 CLBLM_R_X17Y20/CLBLM_R.CLBLM_BYP0->CLBLM_L_AX INT_L_X18Y20/INT_L.WR1END2->>WL1BEG0 INT_R_X17Y20/INT_R.BYP_ALT0->>BYP0 INT_R_X17Y20/INT_R.WL1END0->>BYP_ALT0 INT_R_X19Y20/INT_R.BYP_ALT0->>BYP0 INT_R_X19Y20/INT_R.FAN_ALT2->>FAN_BOUNCE2 INT_R_X19Y20/INT_R.FAN_BOUNCE2->>BYP_ALT0 INT_R_X19Y20/INT_R.LOGIC_OUTS9->>FAN_ALT2 INT_R_X19Y20/INT_R.LOGIC_OUTS9->>WR1BEG2
routepin.final.w2.driver	anchor_lut2/O
routepin.final.w2.sinks	anchor_ff/D anchor_ff2/D
routepin.final.w2.status	ROUTED
routepin.final.w2.fixed	1
