specimen_id	instance	variant	node_type	spec.bit	readback.tsv	checkpoint
SLICE_X24Y25_async	SLICE_X24Y25	async	implementation	ad97b302ee77caea6cf1d013e89e703c830cd67d37c05cce87385b2fd0306635	468a3302891797be2b47980f7e15ff70ae9878310ec7c3140d1a3e38377b4fc6	e06c5de831823fc25cd138048e2e7bda8fa7928f158f33241c72df004429f4b7
SLICE_X24Y25_base	SLICE_X24Y25	base	implementation	710feeb71ed87e6c9ad1a116eaf7d4bbcf67d94fec631ba99f6613f0debf83fb	673eeec454df8f915ce4351983e9da8efc41eb164730934148842282a663febb	0af0ac7b5b00768dbe46de78cfcd029b6824748c74f873e3d5b9b12125f0b469
SLICE_X24Y25_ce_tied	SLICE_X24Y25	ce_tied	implementation	6b6242764c64a6d1f1736ec9fbbe2ec6914afdf69bfaf21f915d76cd4d78e57a	115014aa29af3ea3981808da3ecf2dbb1c98686fd489dab365f30c8af338e948	3c45fd7e6463d49cad21ac5844c3044226fc98c7a9c3415645509bd2a03d850e
SLICE_X24Y25_clkinv	SLICE_X24Y25	clkinv	implementation	1d26cb03637770917caf8dfe48180715ece84d7fa75d6fe199ae4880edeea8e8	c2ea587e076996bf7cbbc9b3e9a37390eb9ae103ffb55ec2068f082cbc63a742	4ce99eec8239e5d66e3bca14e204c7407794fbc0b84c8e23e470e00f7d962214
SLICE_X24Y25_latch	SLICE_X24Y25	latch	implementation	e503ed3dae9fb83c120fee11b7038a7e54b6c63b81f9cf4e2588d3d240c628ef	d563f3c59d71bef5631154050346686c3ed2502c98625a9bdc1288e2303f9386	6ce36daa4095073bda9e60192dd1841cf5facf1cc7ad5ae495831e73f3c48203
SLICE_X24Y25_latch_base	SLICE_X24Y25	latch_base	implementation	9920cbf5f175aebf9eecf046ef4d24b5af72c88faf164c2ade489feef730a4f4	3c8edb23c6d3dd11b78bc1cb990a14bfcdc54a2fb9595a5ce0957149c2c9d53d	6fe79d6686d2e005124c03d26db8d37491eac51189d8a0eb19ccc43c8f4f6d30
SLICE_X24Y25_sr_tied	SLICE_X24Y25	sr_tied	implementation	517b604cebd3b7ebe590a75e96b55be39ec63923cc6fd4300026844084f26089	3b5fd3608c383b87dfa3170d7a2c63c60fb8467d9288b72f1a748936a8a7b58a	f85ef8c7aac210c83ae061c00b421522daff229686a52e4832e4ba3a4e4e5d46
SLICE_X24Y25_zini_A5FF	SLICE_X24Y25	zini_A5FF	derived	93733684e3f2fc4575cf75e93a2c32980cfc97a747ca23ac23cbce23b854c7de	5c44b5df61cd7883bc79742717ef5e7528ec0c99a8427c3acfc0d2384fdd6c2e	40f7e6dbf3ed1fd70f01419de7f8d81ac816a11f6580f2a94f9f316c70cfd7f8
SLICE_X24Y25_zini_AFF	SLICE_X24Y25	zini_AFF	derived	fc4ffc6ed1fcd3345eedd96d42da1cbdfe677a0871ec4a97f57b1e68da7b66cf	9729ce20dfa88ea78b7da689bb636273c58efa1766f7d6663e4e2de58f789dec	d413364c3c00515771f5bae2d1c2f4e42d6edcf6e69b2e47caf66d0d4a4c473d
SLICE_X24Y25_zini_B5FF	SLICE_X24Y25	zini_B5FF	derived	99cda1e648f76703036fa7b7b8be88ababa3e4febdcf5ce284be3df211eccd2c	072028e6f80345d5d1d322b868fc79044b8f0c550ecea8e9c4fd7a14ccae319e	e397458d3dc90968b445cd21fa569f0a67649ad6adecba166166b582afea5926
SLICE_X24Y25_zini_BFF	SLICE_X24Y25	zini_BFF	derived	c95a5d6f2a7bc879dc2dc2e76a4f2a0420cccd674c0d3a5abfc0ac5640dd6b88	524c37c237f34cae9ec12052d6f7da30c1bbaac45483eabc87ae9835145e8789	3fe7b6d36fb80b643348078552e7af4a6f817e64b091bb80810f3e85709cd89b
SLICE_X24Y25_zini_C5FF	SLICE_X24Y25	zini_C5FF	derived	b1507523c2c694c24666f70468b349fd1cc08ce1e5e1583e14b72a8ad6c8dbf3	a9c70c9e85ba0f39b07626a0c536de89342f503722209ef85783e1f58a480058	048b5d9cba8079e416ce9bc608e5cb56738353dd131747983beffdd6700b3afe
SLICE_X24Y25_zini_CFF	SLICE_X24Y25	zini_CFF	derived	28c3939274957deaeb495f475e02f6a25473efd6dfdf8ea9bee26b4e0089085f	87f92ef01a60d52ab03de126379f627e738817109d6fdeb2031b064210c6c5bf	4ecf3b3304169e8a0dbc92d4e9c17ef1a82da09a2a35d3fded97b0fe57748441
SLICE_X24Y25_zini_D5FF	SLICE_X24Y25	zini_D5FF	derived	e0e40fdd7caab7914830912f762c77c742d3a60092ab9c848444ce729ceb59a8	36563003ba8c5395317d70cd06503be4b78b980c99d13fe212dd589e042d39a5	2dfa07f2b47da70506b57c363753ff25ac9aa3c28ddda2cbf422223322122a6f
